ID,Name,Track_ID,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value,Train_Formation_Characteristics_ID_List,Direction_After_Change_Of_Direction,SSP_ID_List,Change_Of_Ends_Zone_ID_List,Default_Stop,Traffic_Reversal_Commands
2189,COD_LCM_121C_B,TR_S_313_EOT_LCM,494738,0,497938,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_121C_U;SSP_LCM_121C_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,None
2190,COD_LCM_121D_B,TR_S_313_EOT_LCM,497938,0,502138,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_121D_U;SSP_LCM_121D_D,COE_LCM_14_121D_U;COE_LCM_14_121D_D,false,Down
2191,COD_LCM_123A_B,TR_S_313_EOT_LCM,508883,0,513083,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_123A_U;SSP_LCM_123A_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,Up
2192,COD_LCM_123B_B,TR_S_313_EOT_LCM,513083,0,516283,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_123B_U;SSP_LCM_123B_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,None
2193,COD_LCM_123C_B,TR_S_313_EOT_LCM,516283,0,519483,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_123C_U;SSP_LCM_123C_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,None
2194,COD_LCM_123D_B,TR_S_313_EOT_LCM,519483,0,523683,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_123D_U;SSP_LCM_123D_D,COE_LCM_123A_123D_U;COE_LCM_123A_123D_D,false,Down
2195,COD_LCM_132A_B,TR_S_343_LCM,511901,0,515251,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_132A_U;SSP_LCM_132A_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,Up
2196,COD_LCM_132B_B,TR_S_343_LCM,515251,0,518451,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_132B_U;SSP_LCM_132B_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,None
2197,COD_LCM_132C_B,TR_S_343_LCM,518451,0,521651,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_132C_U;SSP_LCM_132C_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,None
2198,COD_LCM_132D_B,TR_S_343_LCM,521651,0,525001,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_132D_U;SSP_LCM_132D_D,COE_LCM_132A_132D_U;COE_LCM_132A_132D_D,false,Down
2199,COD_LCM_134A_B,TR_S_343_LCM,532141,0,535941,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_134A_U;SSP_LCM_134A_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,Up
2200,COD_LCM_134B_B,TR_S_343_LCM,535941,0,539141,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_134B_U;SSP_LCM_134B_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,None
2201,COD_LCM_134C_B,TR_S_343_LCM,539141,0,542341,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_134C_U;SSP_LCM_134C_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,None
2202,COD_LCM_134D_B,TR_S_343_LCM,542341,0,545591,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_134D_U;SSP_LCM_134D_D,COE_LCM_134A_134D_U;COE_LCM_134A_134D_D,false,Down
2203,COD_LCM_135A_B,TR_S_343_LCM,545591,0,548841,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_135A_U;SSP_LCM_135A_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,Up
2204,COD_LCM_135B_B,TR_S_343_LCM,548841,0,552041,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_135B_U;SSP_LCM_135B_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,None
2205,COD_LCM_135C_B,TR_S_343_LCM,552041,0,555241,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_135C_U;SSP_LCM_135C_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,None
2206,COD_LCM_135D_B,TR_S_343_LCM,555241,0,559041,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_135D_U;SSP_LCM_135D_D,COE_LCM_135A_135D_U;COE_LCM_135A_135D_D,false,Down
2207,COD_LCM_141A_B,TR_S_373_LCM,531371,0,535571,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_141A_U;SSP_LCM_141A_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,Up
2208,COD_LCM_141B_B,TR_S_373_LCM,535571,0,538771,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_141B_U;SSP_LCM_141B_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,None
2209,COD_LCM_141C_B,TR_S_373_LCM,538771,0,541971,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_141C_U;SSP_LCM_141C_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,None
2210,COD_LCM_141D_B,TR_S_373_LCM,541971,0,545221,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_141D_U;SSP_LCM_141D_D,COE_LCM_141A_141D_U;COE_LCM_141A_141D_D,false,Down
2211,COD_LCM_142A_B,TR_S_373_LCM,545221,0,548471,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_142A_U;SSP_LCM_142A_D,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,Up
2212,COD_LCM_142B_B,TR_S_373_LCM,548471,0,551671,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_142B_D;SSP_LCM_142B_U,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,None
2213,COD_LCM_142C_B,TR_S_373_LCM,551671,0,554871,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_142C_U;SSP_LCM_142C_D,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,None
2214,COD_LCM_142D_B,TR_S_373_LCM,554871,0,559071,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_142D_U;SSP_LCM_142D_D,COE_LCM_142A_142D_U;COE_LCM_142A_142D_D,false,Down
2215,COD_LCM_150A_B,TR_S_375_LCM,526147,0,530147,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_150A_U;SSP_LCM_150A_D,COE_LCM_150A_150D_U;COE_LCM_150A_150D_D,false,Up
2216,COD_LCM_150B_B,TR_S_375_LCM,530147,0,533347,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_150B_U;SSP_LCM_150B_D,COE_LCM_150A_150D_U;COE_LCM_150A_150D_D,false,None
2217,COD_LCM_150C_B,TR_S_375_LCM,533347,0,536547,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_150C_U;SSP_LCM_150C_D,COE_LCM_150A_150D_U;COE_LCM_150A_150D_D,false,None
2218,COD_LCM_150D_B,TR_S_375_LCM,536547,0,539797,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_150D_U;SSP_LCM_150D_D,COE_LCM_150A_150D_U;COE_LCM_150A_150D_D,false,Down
2219,COD_LCM_151A_B,TR_S_375_LCM,539797,0,543047,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_151A_U;SSP_LCM_151A_D,COE_LCM_151A_151D_U;COE_LCM_151A_151D_D,false,Up
2220,COD_LCM_151B_B,TR_S_375_LCM,543047,0,546247,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_151B_U;SSP_LCM_151B_D,COE_LCM_151A_151D_U;COE_LCM_151A_151D_D,false,None
2221,COD_LCM_151C_B,TR_S_375_LCM,546247,0,549447,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_151C_U;SSP_LCM_151C_D,COE_LCM_151A_151D_U;COE_LCM_151A_151D_D,false,None
2222,COD_LCM_151D_B,TR_S_375_LCM,549447,0,552697,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_151D_U;SSP_LCM_151D_D,COE_LCM_151A_151D_U;COE_LCM_151A_151D_D,false,Down
2223,COD_LCM_152A_B,TR_S_375_LCM,552697,0,555947,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_152A_U;SSP_LCM_152A_D,COE_LCM_152A_152D_U;COE_LCM_152A_152D_D,false,Up
2224,COD_LCM_152B_B,TR_S_375_LCM,555947,0,559147,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_152B_U;SSP_LCM_152B_D,COE_LCM_152A_152D_U;COE_LCM_152A_152D_D,false,None
2225,COD_LCM_152C_B,TR_S_375_LCM,559147,0,562347,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_152C_U;SSP_LCM_152C_D,COE_LCM_152A_152D_U;COE_LCM_152A_152D_D,false,None
2226,COD_LCM_152D_B,TR_S_375_LCM,562347,0,566347,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_152D_U;SSP_LCM_152D_D,COE_LCM_152A_152D_U;COE_LCM_152A_152D_D,false,Down
2227,COD_LCM_161A_B,TR_S_347_LCM,526147,0,530347,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_161A_U;SSP_LCM_161A_D,COE_LCM_161A_161D_U;COE_LCM_161A_161D_D,false,Up
2228,COD_LCM_161B_B,TR_S_347_LCM,530347,0,533547,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_161B_U;SSP_LCM_161B_D,COE_LCM_161A_161D_U;COE_LCM_161A_161D_D,false,None
2229,COD_LCM_161C_B,TR_S_347_LCM,533547,0,536747,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_161C_U;SSP_LCM_161C_D,COE_LCM_161A_161D_U;COE_LCM_161A_161D_D,false,None
2230,COD_LCM_161D_B,TR_S_347_LCM,536747,0,539997,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_161D_U;SSP_LCM_161D_D,COE_LCM_161A_161D_U;COE_LCM_161A_161D_D,false,Down
2231,COD_LCM_162A_B,TR_S_347_LCM,539997,0,543247,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_162A_U;SSP_LCM_162A_D,COE_LCM_162A_162D_U;COE_LCM_162A_162D_D,false,Up
2232,COD_LCM_162B_B,TR_S_347_LCM,543247,0,546447,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_162B_U;SSP_LCM_162B_D,COE_LCM_162A_162D_U;COE_LCM_162A_162D_D,false,None
2233,COD_LCM_162C_B,TR_S_347_LCM,546447,0,549647,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_162C_U;SSP_LCM_162C_D,COE_LCM_162A_162D_U;COE_LCM_162A_162D_D,false,None
2234,COD_LCM_162D_B,TR_S_347_LCM,549647,0,552897,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_162D_U;SSP_LCM_162D_D,COE_LCM_162A_162D_U;COE_LCM_162A_162D_D,false,Down
2235,COD_LCM_163A_B,TR_S_347_LCM,552897,0,556147,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_163A_U;SSP_LCM_163A_D,COE_LCM_163A_163D_U;COE_LCM_163A_163D_D,false,Up
2236,COD_LCM_163B_B,TR_S_347_LCM,556147,0,559347,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_163B_U;SSP_LCM_163B_D,COE_LCM_163A_163D_U;COE_LCM_163A_163D_D,false,None
2237,COD_LCM_163C_B,TR_S_347_LCM,559347,0,562547,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_163C_U;SSP_LCM_163C_D,COE_LCM_163A_163D_U;COE_LCM_163A_163D_D,false,None
2238,COD_LCM_163D_B,TR_S_347_LCM,562547,0,566747,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_163D_U;SSP_LCM_163D_D,COE_LCM_163A_163D_U;COE_LCM_163A_163D_D,false,Down
2239,COD_LCM_113A_B,TR_S_317_LCM,525475,0,529675,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_113A_D;SSP_LCM_113A_U,COE_LCM_113A_113D_U;COE_LCM_113A_113D_D,false,Up
2240,COD_LCM_113B_B,TR_S_317_LCM,529675,0,532875,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_113B_U;SSP_LCM_113B_D,COE_LCM_113A_113D_U;COE_LCM_113A_113D_D,false,None
2241,COD_LCM_113C_B,TR_S_317_LCM,532875,0,536075,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_113C_U;SSP_LCM_113C_D,COE_LCM_113A_113D_U;COE_LCM_113A_113D_D,false,None
2242,COD_LCM_113D_B,TR_S_317_LCM,536075,0,540275,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_113D_U;SSP_LCM_113D_D,COE_LCM_113A_113D_U;COE_LCM_113A_113D_D,false,Down
2243,COD_LCM_115A_B,TR_S_317_LCM,545089,0,549289,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_115A_U;SSP_LCM_115A_D,COE_LCM_115A_115D_U;COE_LCM_115A_115D_D,false,Up
2244,COD_LCM_115B_B,TR_S_317_LCM,549289,0,552489,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_115B_U;SSP_LCM_115B_D,COE_LCM_115A_115D_U;COE_LCM_115A_115D_D,false,None
2245,COD_LCM_115C_B,TR_S_317_LCM,552489,0,555689,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_115C_U;SSP_LCM_115C_D,COE_LCM_115A_115D_U;COE_LCM_115A_115D_D,false,None
2246,COD_LCM_115D_B,TR_S_317_LCM,555689,0,559889,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_115D_U;SSP_LCM_115D_D,COE_LCM_115A_115D_U;COE_LCM_115A_115D_D,false,Down
2247,COD_LCM_180A_B,TR_S_421_LCM,545114,0,549314,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_180A_U;SSP_LCM_180A_D,COE_LCM_180A_180D_U;COE_LCM_180A_180D_D,false,Up
2248,COD_LCM_180B_B,TR_S_421_LCM,549314,0,552514,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_180B_U;SSP_LCM_180B_D,COE_LCM_180A_180D_U;COE_LCM_180A_180D_D,false,None
2249,COD_LCM_180C_B,TR_S_421_LCM,552514,0,555714,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_180C_U;SSP_LCM_180C_D,COE_LCM_180A_180D_U;COE_LCM_180A_180D_D,false,None
2250,COD_LCM_180D_B,TR_S_421_LCM,555714,0,559914,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_180D_U;SSP_LCM_180D_D,COE_LCM_180A_180D_U;COE_LCM_180A_180D_D,false,Down
2251,COD_LCM_190A_B,TR_S_315_EOS_SLW,482365,0,486565,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_190A_U;SSP_LCM_190A_D,COE_LCM_26_2_190D_U;COE_LCM_26_2_190D_D,false,Up
2252,COD_LCM_190B_B,TR_S_315_EOS_SLW,486565,0,489765,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_190B_U;SSP_LCM_190B_D,COE_LCM_26_2_190D_U;COE_LCM_26_2_190D_D,false,None
2253,COD_LCM_190C_B,TR_S_315_EOS_SLW,489765,0,492965,0,TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3,Both,SSP_LCM_190C_U;SSP_LCM_190C_D,COE_LCM_26_2_190D_U;COE_LCM_26_2_190D_D,false,None
2254,COD_LCM_190D_B,TR_S_315_EOS_SLW,492965,0,497165,0,TRFC_M5M6;TRFC_S1S2_1;TRFC_S1S2_2;TRFC_S1S2_3;TRFC_S1S2_4;TRFC_S3M4_1;TRFC_S3M4_2;TRFC_S3M4_3;TRFC_S3M4_4,Both,SSP_LCM_190D_U;SSP_LCM_190D_D,COE_LCM_26_2_190D_U;COE_LCM_26_2_190D_D,false,Down
