ID,Name,Track_ID,Traction_Power_Supply_Equipment_ID,Third_Rail,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value,Kp_EndValue,Kp_EndCorrected_Trolley_Value
1,POS_3B_ITW_MBB,TR_3B_ASW_ITW,TPSE_1,true,1020501,0,1110333,0
2,POS_3B_MBE_ASW,TR_3B_ASW_ITW,TPSE_1,true,1113657,0,1875526,0
3,POS_1719_HVW_HDS,TR_I_1719_HDS,TPSE_1,true,0,0,5342,0
1001,POS_7A_ND_ZD,TR_7A_ND_ZD,TPSE_1,true,619136,994,1634912,0
1002,POS_8_ND_ZD,TR_8_ND_ZD,TPSE_1,true,624287,1017,1573500,150
1003,POS_3207_ND,TR_S_EOT_3207_ND,TPSE_1,true,611840,602,642885,-740
1004,POS_3213_ND,TR_S_EOT_3213_ND,TPSE_1,true,608956,3410,651476,2
1005,POS_3211_ND,TR_S_EOT_3211_ND,TPSE_1,true,610523,1839,651476,8
1006,POS_3205_ND,TR_S_EOT_3205_ND,TPSE_1,true,624736,517,641411,748
1007,POS_3201_ND,TR_I_3201_ND,TPSE_1,true,0,-600,2845,0
1008,POS_3203_ND,TR_I_3203_ND,TPSE_1,true,0,-600,2831,0
1009,POS_3223_ND,TR_I_3223_ND,TPSE_1,true,0,0,20235,0
1010,POS_3225_ND,TR_I_3225_ND,TPSE_1,true,0,0,12414,0
1011,POS_3255_CSN,TR_I_3255_CSN,TPSE_1,true,0,0,5310,-2
1012,POS_3257_CSN,TR_I_3257_CSN,TPSE_1,true,0,0,5306,7
1013,POS_3273_CSN,TR_I_3273_CSN,TPSE_1,true,0,0,6474,15
1014,POS_3277_CSN,TR_S_EOT_3277_CSN,TPSE_1,true,918512,417,943517,67
1015,POS_3313_CSN,TR_I_3313_CSN,TPSE_1,true,0,0,6066,5
1016,POS_3309_CSN,TR_I_3309_CSN,TPSE_1,true,0,0,6064,6
1017,POS_3423_VZG,TR_I_3423_VZG,TPSE_1,true,0,0,8300,-33
1018,POS_3421_VZG,TR_I_3421_VZG,TPSE_1,true,0,0,8300,88
1019,POS_3503_ZD,TR_I_3503_ZD,TPSE_1,true,0,0,5700,-121
1020,POS_3501_ZD,TR_I_3501_ZD,TPSE_1,true,0,0,5700,-115
1021,POS_3521_ZD,TR_I_3521_ZD,TPSE_1,true,0,0,6100,-67
1022,POS_3523_ZD,TR_I_3523_ZD,TPSE_1,true,0,0,6100,-68
1023,POS_7B_ZD_ZD,TR_7B_ZD_ZD,TPSE_1,true,967812,0,1017056,0
4,POS_1721_HVW_HDS,TR_I_1721_HDS,TPSE_1,true,0,0,5340,0
5,POS_1775_ASW_HVW,TR_I_1775_ZD,TPSE_1,true,0,0,5338,0
6,POS_1773_ASW_HVW,TR_I_1773_ZD,TPSE_1,true,0,0,5337,0
7,POS_1615_STD_ITW,TR_I_1615_ITW,TPSE_1,true,0,0,13577,0
8,POS_1617_STD_ITW,TR_I_1617_ITW,TPSE_1,true,0,0,5581,0
9,POS_1697_LLL_PJW,TR_S_1697_HDS,TPSE_1,true,1412129,0,1444947,0
10,POS_4B_ITW_MBB,TR_4B_ASW_ITW,TPSE_1,true,1025964,5,1110456,0
11,POS_4B_MBE_ASW,TR_4B_ASW_ITW,TPSE_1,true,1113738,0,1880000,2010
12,POS_1637_VLN_STD,TR_I_1637_VLN,TPSE_1,true,0,0,5531,0
13,POS_1635_VLN_STD,TR_I_1635_VLN,TPSE_1,true,0,0,5530,0
14,POS_1651_JLS_VLN,TR_I_1651_VLN,TPSE_1,true,0,0,5340,0
15,POS_1653_JLS_VLN,TR_I_1653_VLN,TPSE_1,true,0,0,5339,0
16,POS_1687_LLL_PJW,TR_I_1687_HDS,TPSE_1,true,0,0,8719,0
17,POS_1695_LLL_PJW,TR_I_1695_HDS,TPSE_1,true,0,0,7960,0
18,POS_TR_3C_ITW_ITW,TR_3C_ITW_ITW,TPSE_1,true,1875525,0,1900775,0
19,POS_TR_S_EOT_1529_ITW,TR_S_EOT_1529_ITW,TPSE_1,true,1860477,0,1878449,0
20,POS_TR_S_1505_EOT_ITW,TR_S_1505_EOT_ITW,TPSE_1,true,1884283,0,1900871,0
2001,POS_2A_CS_GN,TR_2A_CS_GN,TPSE_1,true,11366,-70,1275488,-5
2002,POS_1A_CS_GN,TR_1A_CS_GN,TPSE_1,true,11168,1,1276896,-8
2003,POS_203_CS,TR_I_203_CS,TPSE_1,true,0,0,9521,0
2004,POS_201_CS,TR_I_201_CS,TPSE_1,true,0,0,9536,0
2005,POS_239_WPP,TR_S_EOT_239_WPP,TPSE_1,true,181246,-1,210606,0
2006,POS_235_WPP,TR_I_235_WPP,TPSE_1,true,0,0,5486,0
2007,POS_237_WPP,TR_I_237_WPP,TPSE_1,true,0,0,6381,0
2008,POS_245_WPP,TR_I_245_WPP,TPSE_1,true,0,0,5683,0
2009,POS_247_WPP,TR_I_247_WPP,TPSE_1,true,0,0,5214,0
2010,POS_261_SLW,TR_I_261_SLW,TPSE_1,true,0,0,6477,0
2011,POS_263_SLW,TR_I_263_SLW,TPSE_1,true,0,0,6480,0
2012,POS_309_SLW,TR_S_EOT_309_SLW,TPSE_1,true,447076,-3,462314,0
2013,POS_307_SLW,TR_I_307_SLW,TPSE_1,true,0,0,6158,0
2014,POS_315_EOS_SLW,TR_S_315_EOS_SLW,TPSE_1,true,476057,0,525007,0
2015,POS_343_LCM,TR_S_343_LCM,TPSE_1,true,498115,0,563932,0
2016,POS_313_EOT_LCM,TR_S_313_EOT_LCM,TPSE_1,true,480591,0,546869,0
2017,POS_329_SLW,TR_I_329_SLW,TPSE_1,true,0,0,5582,0
2018,POS_327_SLW,TR_I_327_SLW,TPSE_1,true,0,0,5572,0
2019,POS_319_SLW,TR_I_319_SLW,TPSE_1,true,0,0,5629,0
2020,POS_345_LCM,TR_I_345_LCM,TPSE_1,true,0,0,3772,0
2021,POS_379_LCM,TR_I_379_LCM,TPSE_1,true,0,0,3670,0
2022,POS_377_LCM,TR_I_377_LCM,TPSE_1,true,0,0,3196,0
2023,POS_375_LCM,TR_S_375_LCM,TPSE_1,true,521394,0,573822,0
2024,POS_373_LCM,TR_S_373_LCM,TPSE_1,true,520321,0,569865,0
2025,POS_347_LCM,TR_S_347_LCM,TPSE_1,true,508880,0,573907,0
2026,POS_371_LCM,TR_I_371_LCM,TPSE_1,true,0,0,4228,0
2027,POS_369_LCM,TR_I_369_LCM,TPSE_1,true,0,0,4180,0
2028,POS_367_EOT_LCM,TR_S_367_EOT_LCM,TPSE_1,true,520609,0,540516,0
2029,POS_317_LCM,TR_S_317_LCM,TPSE_1,true,475732,0,569839,0
2030,POS_421_LCM,TR_S_421_LCM,TPSE_1,true,541201,0,564158,0
2031,POS_411_LCM,TR_I_411_LCM,TPSE_1,true,0,0,3490,0
2032,POS_409_LCM,TR_I_409_LCM,TPSE_1,true,0,0,3480,0
2033,POS_403_MDW,TR_I_403_MDW,TPSE_1,true,0,0,31875,0
2034,POS_6B_MDW_MDW,TR_6B_MDW_MDW,TPSE_1,true,573688,189,591309,0
2035,POS_431_MDW,TR_I_431_MDW,TPSE_1,true,0,0,16603,0
2036,POS_429_MDW,TR_I_429_MDW,TPSE_1,true,0,0,15878,0
2037,POS_425_MDW,TR_I_425_MDW,TPSE_1,true,0,0,26127,0
2038,POS_6C_MDW_MDW,TR_6C_MDW_MDW,TPSE_1,true,573422,88,608312,0
2039,POS_451_MDW,TR_I_451_MDW,TPSE_1,true,0,0,13969,0
2040,POS_453_MDW,TR_I_453_MDW,TPSE_1,true,0,0,13664,0
2041,POS_441_MDW,TR_I_441_MDW,TPSE_1,true,0,0,5398,0
2042,POS_443_MDW,TR_I_443_MDW,TPSE_1,true,0,0,5403,0
2043,POS_449_MDW,TR_I_449_MDW,TPSE_1,true,0,0,13219,0
2044,POS_447_MDW,TR_I_447_MDW,TPSE_1,true,0,0,22071,0
2045,POS_5D_MDW_DMZ,TR_5D_MDW_DMZ,TPSE_1,true,27523,5,274118,-5
2046,POS_6D_MDW_DMZ,TR_6D_MDW_DMZ,TPSE_1,true,26613,38,273031,-5
2047,POS_5C_MDW_MDW,TR_5C_MDW_MDW,TPSE_1,true,574124,0,609222,4
2048,POS_5B_MDW_MDW,TR_5B_MDW_MDW,TPSE_1,true,573202,177,592235,0
2049,POS_611_SVT,TR_I_611_SVT,TPSE_1,true,0,0,16537,0
2050,POS_613_SVT,TR_I_613_SVT,TPSE_1,true,0,0,17484,0
2051,POS_633_BLW,TR_I_633_BLW,TPSE_1,true,0,0,9915,0
2052,POS_627_EOT_BLW,TR_S_627_EOT_BLW,TPSE_1,true,913871,0,941681,0
2053,POS_639_BLW,TR_I_639_BLW,TPSE_1,true,0,0,12519,0
2054,POS_641_BLW,TR_I_641_BLW,TPSE_1,true,0,0,12691,0
2055,POS_659_GN,TR_I_659_GN,TPSE_1,true,0,0,5581,0
2056,POS_661_GN,TR_I_661_GN,TPSE_1,true,0,0,15727,0
2057,POS_665_GN,TR_I_665_GN,TPSE_1,true,0,0,5037,0
2058,POS_667_GN,TR_I_667_GN,TPSE_1,true,0,0,5044,0
2059,POS_673_EOT_GN,TR_S_673_EOT_GN,TPSE_1,true,1252432,0,1275502,0
2060,POS_671_EOT_GN,TR_S_671_EOT_GN,TPSE_1,true,1253849,0,1276913,0
2061,POS_511_DMZ,TR_I_511_DMZ,TPSE_1,true,0,0,5400,0
2062,POS_513_DMZ,TR_I_513_DMZ,TPSE_1,true,0,0,5396,0
2063,POS_517_EOS_DMZ,TR_S_517_EOS_DMZ,TPSE_1,true,265031,0,310511,2171
2064,POS_519_EOS_DMZ,TR_S_519_EOS_DMZ,TPSE_1,true,265188,0,316008,-126
2065,POS_531_EOT_DMZ,TR_S_531_EOT_DMZ,TPSE_1,true,287515,0,328864,247
2066,POS_5E_DMZ_GPP,TR_5E_DMZ_GPP,TPSE_1,true,723118,-5,1048335,1
2067,POS_6E_DMZ_GPP,TR_6E_DMZ_GPP,TPSE_1,true,722031,-6,1049495,-39
2068,POS_547_DMZ,TR_I_547_DMZ,TPSE_1,true,0,0,5582,0
2069,POS_549_DMZ,TR_I_549_DMZ,TPSE_1,true,0,0,5579,0
2070,POS_567_GPP,TR_I_567_GPP,TPSE_1,true,0,0,5392,0
2071,POS_569_GPP,TR_I_569_GPP,TPSE_1,true,0,0,13122,0
2072,POS_575_GPP,TR_I_575_GPP,TPSE_1,true,0,0,3498,0
2073,POS_573_GPP,TR_I_573_GPP,TPSE_1,true,0,0,3495,0
2074,POS_579_EOT_GPP,TR_S_579_EOT_GPP,TPSE_1,true,1028304,0,1048414,0
2075,POS_583_EOT_GPP,TR_S_583_EOT_GPP,TPSE_1,true,1030046,0,1048363,-42
2076,POS_581_EOT_GPP,TR_S_581_EOT_GPP,TPSE_1,true,1029441,0,1049251,-110
2077,POS_585_EOT_GPP,TR_S_585_EOT_GPP,TPSE_1,true,1030680,0,1049289,-154
2078,POS_3A_SLW_ZD,TR_3A_SLW_ZD,TPSE_1,true,445179,0,1021381,-11
2079,POS_4A_SLW_ZD,TR_4A_SLW_ZD,TPSE_1,true,445083,0,1025969,-23
2080,POS_6A_MDW_OAS,TR_6A_MDW_OAS,TPSE_1,true,574088,1761,679326,0
2081,POS_5A_MDW_OAS,TR_5A_MDW_OAS,TPSE_1,true,573602,1491,642613,0
2082,POS_1833_ZD,TR_I_1833_ZD,TPSE_1,true,0,0,12897,0
2083,POS_1831A_ZD,TR_S_1831A_ZD,TPSE_1,true,854727,0,903200,501
2084,POS_1797_ZD,TR_I_1797_ZD,TPSE_1,true,0,0,5451,0
2085,POS_1913_ZD,TR_I_1913_ZD,TPSE_1,true,0,0,3312,0
2086,POS_1799_EOT_ZD,TR_S_1799_EOT_ZD,TPSE_1,true,916216,0,977242,0
2087,POS_1905_ZD,TR_I_1905_ZD,TPSE_1,true,0,0,3850,0
2088,POS_1903_ZD,TR_I_1903_ZD,TPSE_1,true,0,0,2439,0
2089,POS_1917_ZD,TR_I_1917_ZD,TPSE_1,true,0,0,3859,0
2090,POS_1919_ZD,TR_I_1919_ZD,TPSE_1,true,0,0,3863,0
2091,POS_1901_ZD,TR_I_1901_ZD,TPSE_1,true,0,0,3307,0
2092,POS_1907_ZD,TR_I_1907_ZD,TPSE_1,true,0,0,3312,0
2093,POS_1807_ZD,TR_I_1807_ZD,TPSE_1,true,0,0,5406,0
2094,POS_1803_ZD,TR_I_1803_ZD,TPSE_1,true,0,0,9331,0
2095,POS_11_ZD_ZD,TR_11_ZD_ZD,TPSE_1,true,930364,0,969380,120
2096,POS_12_ZD_ZD,TR_12_ZD_ZD,TPSE_1,true,876604,0,969000,-247
2097,POS_1857_OAS,TR_I_1857_OAS,TPSE_1,true,0,0,5575,0
2098,POS_1859_OAS,TR_I_1859_OAS,TPSE_1,true,0,0,5579,0
21,POS_TR_S_1531_EOT_ITW,TR_S_1531_EOT_ITW,TPSE_1,true,1878449,0,1900858,0
22,POS_TR_S_1509_EOT_ITW,TR_S_1509_EOT_ITW,TPSE_1,true,1886988,0,1903575,0
23,POS_TR_I_1513_ITW,TR_I_1513_ITW,TPSE_1,true,0,0,3498,0
24,POS_TR_I_1511_ITW,TR_I_1511_ITW,TPSE_1,true,0,0,3498,0
25,POS_TR_I_1523_ITW,TR_I_1523_ITW,TPSE_1,true,0,0,3368,0
26,POS_TR_S_EOT_1521_ITW,TR_S_EOT_1521_ITW,TPSE_1,true,1857442,0,1876207,0
27,POS_TR_I_1501_ITW,TR_I_1501_ITW,TPSE_1,true,0,0,3034,0
28,POS_TR_S_ITW1_ITW,TR_S_ITW1_ITW,TPSE_1,true,1851648,0,1899600,0
29,POS_TR_S_ITW2_ITW,TR_S_ITW2_ITW,TPSE_1,true,1862392,0,1903563,0
30,POS_TR_S_ITW3_ITW,TR_S_ITW3_ITW,TPSE_1,true,1858746,0,1896799,0
31,POS_TR_S_1921_ZD,TR_S_1921_ZD,TPSE_1,true,972804,0,1026985,0
32,POS_TR_S_1915_ZD,TR_S_1915_ZD,TPSE_1,true,927267,0,981991,0
